0,0
5.236,5.236
5.236,5.236
5.236,5.236
5.236,2.618
5.236,2.618
2.618,0.0
0.0,5.236
5.236,5.236
5.236,5.236
5.236,5.236
5.236,5.236
2.618,5.236
2.618,5.236
0.0,5.236
2.618,0.0
0.0,2.618
2.618,0.0
0.0,2.618
2.618,2.618
2.618,0.0
0.0,2.618
2.618,0.0
0.0,2.618
2.618,2.618
2.618,0.0
0.0,2.618
2.618,0.0
0.0,2.618
2.618,0.0
5.236,2.618
5.236,5.236
5.236,5.236
5.236,5.236
5.236,2.618
5.236,5.236
5.236,5.236
5.236,0.0
2.618,0.0
5.236,5.236
2.618,0.0
0.0,5.236
2.618,0.0
2.618,5.236
2.618,0.0
0.0,2.618
5.236,5.236
2.618,5.236
5.236,2.618
0.0,5.236
5.236,0.0
0.0,5.236
5.236,2.618
2.618,5.236
5.236,5.236
5.236,5.236
5.236,5.236
5.236,5.236
5.236,5.236
2.618,5.236
5.236,5.236
5.236,5.236
5.236,5.236
0.0,5.236
5.236,5.236
0,0
0,0
